solver,num_measurements,config_id,config_label,misfit,pde_err,reg,boundary,mean_rmse,std_rmse,mean_directional_rmse,std_directional_rmse,mean_angular_rmse_deg,std_angular_rmse_deg,count
linear_least_squares,10,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.17546411752743926,0.008198878136492138,0.6139333481145984,0.044313218762022835,42.988006815841466,2.0627838741116014,3
linear_least_squares,25,70,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+01",100.0,1.0,0.01,10.0,0.15587584033899596,0.011273960778907563,0.5721979943840435,0.037650214153954274,40.91035707356799,1.7082346460409643,3
linear_least_squares,50,79,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+01",100.0,10.0,0.01,10.0,0.12790006597830827,0.026440517535730367,0.5858098627174058,0.06290697898722847,41.81625776026575,3.9068541397984826,3
linear_least_squares,100,79,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+01",100.0,10.0,0.01,10.0,0.10658902583239793,0.0019299995641699798,0.5192979626944916,0.0021830495165795992,37.89109266024682,0.2610357258571261,3
linear_least_squares,200,67,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+01",100.0,1.0,0.0001,10.0,0.08473155689503657,0.007720362479573478,0.49528122668194713,0.006048211476253337,36.234595639715174,0.5248419215255014,3
minimum_residual,10,21,"m=1e+02, pde=1e-01, reg=1e-02",100.0,0.1,0.01,,0.1687605909086715,0.01590366270933011,0.8627280420371178,0.014010360396723882,63.36403769534883,3.1090445639323585,3
minimum_residual,25,17,"m=1e+01, pde=1e+01, reg=1e-04",10.0,10.0,0.0001,,0.13953376626615757,0.019721846114188268,0.8694826698905186,0.1884377166205073,63.727937901408644,15.870158441139635,3
minimum_residual,50,12,"m=1e+01, pde=1e-01, reg=1e-02",10.0,0.1,0.01,,0.11223832121075787,0.026933475781188463,0.45794601735988855,0.1565226346695369,31.63460597748419,12.113989986299206,3
minimum_residual,100,21,"m=1e+02, pde=1e-01, reg=1e-02",100.0,0.1,0.01,,0.08716273584339361,0.003281523557504028,0.3109214365108378,0.032100022621356396,20.214850475046944,2.538250862857658,3
minimum_residual,200,12,"m=1e+01, pde=1e-01, reg=1e-02",10.0,0.1,0.01,,0.07274639544514801,0.007848498300952975,0.22800351087832108,0.020008757925626244,14.3801574724842,1.3519803897623484,3
weak_penalty,10,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.17590837260003864,0.01707435477040456,1.0546462241153087,0.19642502645689208,81.37870319559077,15.41696409736396,3
weak_penalty,25,16,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+01",1.0,1.0,0.01,10.0,0.1404354993947398,0.03646100078217442,0.8238622660254297,0.2459183343958859,59.490106181870765,20.443703942971553,3
weak_penalty,50,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.12303847160346588,0.03510740961266622,0.8020532336718688,0.15729973084454302,60.19110262126032,11.608548335384459,3
weak_penalty,100,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.09706221133776576,0.002919854165700434,0.648171713069197,0.04749049555810757,46.709837997343776,4.523048483727477,3
weak_penalty,200,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.07283623012049341,0.0031445140616818447,0.5026786857921917,0.008171535421599211,34.60583258176025,0.5150984572657479,3
